sensor,split,train_q95_threshold,train_q99_threshold,count_above_train_q95,percent_above_train_q95,count_above_train_q99,percent_above_train_q99
vib_x_rms,Train,0.12462324999999999,0.4043652499999995,1466,5.000682221312594,294,1.002865329512894
vib_x_rms,Validation,0.12462324999999999,0.4043652499999995,728,11.588666029926776,50,0.795924864692773
vib_x_rms,Test,0.12462324999999999,0.4043652499999995,0,0.0,0,0.0
vib_y_rms,Train,0.148555,0.5323086999999939,1466,5.000682221312594,294,1.002865329512894
vib_y_rms,Validation,0.148555,0.5323086999999939,610,9.71028334925183,36,0.5730659025787965
vib_y_rms,Test,0.148555,0.5323086999999939,1,0.01591596371160274,0,0.0
vib_z_rms,Train,0.0647705,0.21379579999999845,1466,5.000682221312594,294,1.002865329512894
vib_z_rms,Validation,0.0647705,0.21379579999999845,482,7.672715695638331,1,0.01591849729385546
vib_z_rms,Test,0.0647705,0.21379579999999845,1,0.01591596371160274,0,0.0
mag_x,Train,436.07550000000003,454.412,1466,5.000682221312594,293,0.999454222949925
mag_x,Validation,436.07550000000003,454.412,307,4.886978669213626,48,0.7640878701050621
mag_x,Test,436.07550000000003,454.412,340,5.411427661944931,66,1.0504536049657807
mag_y,Train,435.771,453.93389999999994,1466,5.000682221312594,294,1.002865329512894
mag_y,Validation,435.771,453.93389999999994,304,4.83922317733206,64,1.0187838268067495
mag_y,Test,435.771,453.93389999999994,288,4.583797548941589,49,0.7798822218685341
mag_z,Train,436.065,453.964,1466,5.000682221312594,293,0.999454222949925
mag_z,Validation,436.065,453.964,308,4.902897166507482,77,1.2257242916268705
mag_z,Test,436.065,453.964,298,4.742957186057615,68,1.0822855323889862
temperature,Train,47.598808362499994,48.250765247000004,1466,5.000682221312594,294,1.002865329512894
temperature,Validation,47.598808362499994,48.250765247000004,0,0.0,0,0.0
temperature,Test,47.598808362499994,48.250765247000004,0,0.0,0,0.0
