sensor,model,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,folds
mag_x,Persistence,153.24604892905586,0.9242818010826132,187.2131897370553,1.4582631376725304,-1.0005602072202717,0.021334295794227714,5
mag_x,Ridge,114.77664885397897,1.2466365743896246,132.4988044583088,0.9957805570659616,-0.0020382993701131722,0.0007270195792116083,5
mag_x,XGBoost,115.310538509408,1.1493025629062814,133.4951061331417,0.8251274143880801,-0.017199488962737552,0.0072351225366781855,5
mag_y,Persistence,151.67213438737315,1.5842981216115763,185.51257930099396,1.393095992202013,-0.9704874070794481,0.04008573535376361,5
mag_y,Ridge,114.55468800475084,1.2535217221890576,132.38728132349746,1.089498604864989,-0.00333280351040266,0.0031104202817462214,5
mag_y,XGBoost,115.03216459759874,1.20376613802053,133.47581063812726,1.1566411906241696,-0.019900842713935864,0.005225872150850547,5
mag_z,Persistence,152.66524539843454,1.1713246575736656,186.49205024932795,1.0498498749328766,-1.0082029835369979,0.020573038253722937,5
mag_z,Ridge,113.91166370516025,0.6485766390239351,131.70231842984123,0.559923823556799,-0.0015230785867028195,0.0019719670823941256,5
mag_z,XGBoost,114.66592909641977,0.9679377665223258,132.99252202440584,0.935391624174264,-0.02123604738602656,0.007420451723162534,5
temperature,Persistence,0.12477955919180912,0.05895870582699092,0.1894856139755565,0.08308617334170117,0.8170880960750979,0.17137647867328087,5
temperature,Ridge,0.16352779972546705,0.03772121244614754,0.21027461589763669,0.06341080323673806,0.7564946976655105,0.1690342457706946,5
temperature,XGBoost,0.447239907399832,0.14710478721330358,0.5415470308081181,0.18042317014753378,-0.8709094092098713,2.157479009187039,5
vib_x_rms,Persistence,0.015496578744278327,0.01716928571572149,0.0395726078999483,0.043493215901064704,-0.920716742534465,0.22933386244433707,5
vib_x_rms,Ridge,0.01954454064837539,0.013035062536139052,0.038114476237085096,0.032305714256579625,-14.61241146409817,23.95362612701563,5
vib_x_rms,XGBoost,0.019250329929359905,0.014150531811874393,0.03650022188883225,0.03147274640926189,-8.375215461029214,16.493671299452622,5
vib_y_rms,Persistence,0.019065319666695398,0.020492958253145645,0.049845967144683735,0.053666516611962,-0.9350449908460231,0.21085883754036133,5
vib_y_rms,Ridge,0.023764383722935233,0.015301277275582193,0.04764450486196046,0.04058013160068737,-12.567122586194467,18.216780808697635,5
vib_y_rms,XGBoost,0.02497360867314516,0.017311791452458092,0.046563918353306186,0.03819954796817728,-7.574727962776895,14.764049672322516,5
vib_z_rms,Persistence,0.006536038761822116,0.006002800528252368,0.01619773081677039,0.015628932722858577,-0.9494192868277231,0.0816628735020718,5
vib_z_rms,Ridge,0.007820710101474133,0.00466295487911789,0.015926597801585996,0.012707676952087075,-3.1907572445956585,3.665662241291671,5
vib_z_rms,XGBoost,0.008276114440787687,0.0050735427128873415,0.015305537717944245,0.011544538307304576,-2.6136714966897685,4.212186426664816,5
