sensor,horizon_seconds,regime_type,model,mean_MAE,mean_RMSE,mean_R2,regimes_evaluated,total_samples
mag_x,60,operating_regime,Persistence,151.04317732373366,185.14003381165185,-0.9495437415194736,3,6283
mag_x,60,operating_regime,Ridge,114.70582981986699,132.76617800303367,-0.002677180299592482,3,6283
mag_x,60,operating_regime,XGBoost,115.01052692303581,133.6469510222155,-0.015970737675306212,3,6283
mag_x,60,temperature_regime,Persistence,153.16349814356198,187.41776686310752,-0.972473159567306,1,6283
mag_x,60,temperature_regime,Ridge,116.07727714944588,133.5864974616722,-0.0021084191523152995,1,6283
mag_x,60,temperature_regime,XGBoost,116.56221629549852,134.67616212398008,-0.018523486826313995,1,6283
mag_x,60,vibration_regime,Persistence,151.04317732373366,185.14003381165185,-0.9495437415194736,3,6283
mag_x,60,vibration_regime,Ridge,114.70582981986699,132.76617800303367,-0.002677180299592482,3,6283
mag_x,60,vibration_regime,XGBoost,115.01052692303581,133.6469510222155,-0.015970737675306212,3,6283
mag_y,60,operating_regime,Persistence,151.27555592972908,184.93109042590905,-0.960005530480478,3,6283
mag_y,60,operating_regime,Ridge,114.40288331802799,132.47028022171617,-0.004935855993150939,3,6283
mag_y,60,operating_regime,XGBoost,115.01921912425011,133.5073721867874,-0.020696679561369963,3,6283
mag_y,60,temperature_regime,Persistence,151.19637000063665,184.856180959652,-0.9929878070258462,1,6283
mag_y,60,temperature_regime,Ridge,113.10726564394042,131.17152980124177,-0.0034964857436776686,1,6283
mag_y,60,temperature_regime,XGBoost,113.52242358959911,132.12107576006403,-0.018077621079200634,1,6283
mag_y,60,vibration_regime,Persistence,151.27555592972908,184.93109042590905,-0.960005530480478,3,6283
mag_y,60,vibration_regime,Ridge,114.40288331802799,132.47028022171617,-0.004935855993150939,3,6283
mag_y,60,vibration_regime,XGBoost,115.01921912425011,133.5073721867874,-0.020696679561369963,3,6283
mag_z,60,operating_regime,Persistence,152.47691681513905,186.25085510198508,-1.0097118497100477,3,6283
mag_z,60,operating_regime,Ridge,113.31057224971819,131.61821515691747,-0.0034615566825315636,3,6283
mag_z,60,operating_regime,XGBoost,114.02990695408532,132.496214433559,-0.016918685343313644,3,6283
mag_z,60,temperature_regime,Persistence,152.4017493272322,185.65323237653237,-0.9864609657181256,1,6283
mag_z,60,temperature_regime,Ridge,113.81142192150345,131.95995203314146,-0.0035968821372185378,1,6283
mag_z,60,temperature_regime,XGBoost,114.14063468630148,132.61950872978895,-0.013654225249506657,1,6283
mag_z,60,vibration_regime,Persistence,152.47691681513905,186.25085510198508,-1.0097118497100477,3,6283
mag_z,60,vibration_regime,Ridge,113.31057224971819,131.61821515691747,-0.0034615566825315636,3,6283
mag_z,60,vibration_regime,XGBoost,114.02990695408532,132.496214433559,-0.016918685343313644,3,6283
temperature,60,operating_regime,Persistence,0.08230061377143365,0.15482993452583396,0.8348460207153381,3,6283
temperature,60,operating_regime,Ridge,0.1944813901948065,0.22080236302895515,0.6674734369377697,3,6283
temperature,60,operating_regime,XGBoost,1.4320321009439023,1.4825856329315392,-13.95067186909668,3,6283
temperature,60,temperature_regime,Persistence,0.07277441141811232,0.14823373301080134,0.8540763248272545,1,6283
temperature,60,temperature_regime,Ridge,0.19309017457625569,0.21801103712911146,0.6843624747915871,1,6283
temperature,60,temperature_regime,XGBoost,1.4634360918245912,1.5146571889062048,-14.235628294436587,1,6283
temperature,60,vibration_regime,Persistence,0.08230061377143365,0.15482993452583396,0.8348460207153381,3,6283
temperature,60,vibration_regime,Ridge,0.1944813901948065,0.22080236302895515,0.6674734369377697,3,6283
temperature,60,vibration_regime,XGBoost,1.4320321009439023,1.4825856329315392,-13.95067186909668,3,6283
vib_x_rms,60,operating_regime,Persistence,0.002435049956250177,0.004686925245126826,-2.132319153021603,3,6283
vib_x_rms,60,operating_regime,Ridge,0.004933752367443926,0.006641752990013318,-6.359906071376336,3,6283
vib_x_rms,60,operating_regime,XGBoost,0.00683447741044859,0.011339799723671095,-24.365757101560067,3,6283
vib_x_rms,60,temperature_regime,Persistence,0.0017083519019576636,0.0033787092025944353,-1.4211810771747997,1,6283
vib_x_rms,60,temperature_regime,Ridge,0.004572238978934248,0.006067264901880062,-6.807492139399913,1,6283
vib_x_rms,60,temperature_regime,XGBoost,0.006889719099496393,0.011679548977176542,-27.931955336372546,1,6283
vib_x_rms,60,vibration_regime,Persistence,0.002435049956250177,0.004686925245126826,-2.132319153021603,3,6283
vib_x_rms,60,vibration_regime,Ridge,0.004933752367443926,0.006641752990013318,-6.359906071376336,3,6283
vib_x_rms,60,vibration_regime,XGBoost,0.00683447741044859,0.011339799723671095,-24.365757101560067,3,6283
vib_y_rms,60,operating_regime,Persistence,0.0029240908804832755,0.007198725265158155,-3.139096182204057,3,6283
vib_y_rms,60,operating_regime,Ridge,0.005732593112197516,0.008190732731322597,-3.8461316221440387,3,6283
vib_y_rms,60,operating_regime,XGBoost,0.00750249641441583,0.015706275266818257,-18.250923196013833,3,6283
vib_y_rms,60,temperature_regime,Persistence,0.0018240070030240332,0.005278369336978242,-1.0381125830764564,1,6283
vib_y_rms,60,temperature_regime,Ridge,0.00523683522566514,0.007468656894867683,-3.0805023945600194,1,6283
vib_y_rms,60,temperature_regime,XGBoost,0.007525861591777039,0.016355573275443264,-18.568618287582236,1,6283
vib_y_rms,60,vibration_regime,Persistence,0.0029240908804832755,0.007198725265158155,-3.139096182204057,3,6283
vib_y_rms,60,vibration_regime,Ridge,0.005732593112197516,0.008190732731322597,-3.8461316221440387,3,6283
vib_y_rms,60,vibration_regime,XGBoost,0.00750249641441583,0.015706275266818257,-18.250923196013833,3,6283
vib_z_rms,60,operating_regime,Persistence,0.0020414255970400007,0.00337381602439977,-2.2824257877360608,3,6283
vib_z_rms,60,operating_regime,Ridge,0.0024341427190977963,0.0034100804772661335,-2.1136299026793206,3,6283
vib_z_rms,60,operating_regime,XGBoost,0.003198495411647059,0.005405155193717413,-7.090263235258003,3,6283
vib_z_rms,60,temperature_regime,Persistence,0.0016415147222664332,0.00261956698266473,-1.0456708719565735,1,6283
vib_z_rms,60,temperature_regime,Ridge,0.0022758725870254764,0.0031482328581321642,-1.954679916796667,1,6283
vib_z_rms,60,temperature_regime,XGBoost,0.003168842901171212,0.005453671105953366,-7.86654928471031,1,6283
vib_z_rms,60,vibration_regime,Persistence,0.0020414255970400007,0.00337381602439977,-2.2824257877360608,3,6283
vib_z_rms,60,vibration_regime,Ridge,0.0024341427190977963,0.0034100804772661335,-2.1136299026793206,3,6283
vib_z_rms,60,vibration_regime,XGBoost,0.003198495411647059,0.005405155193717413,-7.090263235258003,3,6283
