sensor,horizon_seconds,current_vs_future_correlation,rows
vib_x_rms,60,0.5774550467133268,41881
vib_y_rms,60,0.6804621628960602,41881
vib_z_rms,60,0.4402163566271176,41881
mag_x,60,-0.004331593839543725,41881
mag_y,60,0.010594314801783057,41881
mag_z,60,0.003983521910862057,41881
temperature,60,0.9941306212955574,41881
