sensor,horizon_seconds,regime_type,regime,model,samples,MAE,RMSE,R2
vib_z_rms,60,vibration_regime,High_Vibration,Ridge,447,0.002831287452510883,0.004099932751444507,-2.529263817681935
vib_z_rms,60,vibration_regime,High_Vibration,XGBoost,447,0.003298310213602496,0.005337832767589268,-4.982195252270431
vib_z_rms,60,temperature_regime,Low_Temperature,Persistence,6283,0.0016415147222664332,0.00261956698266473,-1.0456708719565735
vib_z_rms,60,temperature_regime,Low_Temperature,Ridge,6283,0.0022758725870254764,0.0031482328581321642,-1.954679916796667
vib_z_rms,60,temperature_regime,Low_Temperature,XGBoost,6283,0.003168842901171212,0.005453671105953366,-7.86654928471031
vib_z_rms,60,operating_regime,Medium_Vibration__Low_Temperature,Persistence,2658,0.0015105218209179832,0.002165602892733175,-0.4811806246809054
vib_z_rms,60,operating_regime,Medium_Vibration__Low_Temperature,Ridge,2658,0.0022606984361348073,0.00308838479235966,-2.0124038028105775
vib_z_rms,60,operating_regime,Medium_Vibration__Low_Temperature,XGBoost,2658,0.0030325579100690717,0.005221715117509177,-7.611458739731056
vib_z_rms,60,operating_regime,Low_Vibration__Low_Temperature,Persistence,3178,0.0015511979232221524,0.002250839968587575,-0.5326038295313678
vib_z_rms,60,operating_regime,Low_Vibration__Low_Temperature,Ridge,3178,0.0022104422686476987,0.003041923887994234,-1.7992220875454494
vib_z_rms,60,operating_regime,Low_Vibration__Low_Temperature,XGBoost,3178,0.0032646181112696085,0.005655917696053795,-8.677135713772518
vib_z_rms,60,operating_regime,High_Vibration__Low_Temperature,Persistence,447,0.0030625570469798662,0.005705005211878559,-5.833492908995909
vib_z_rms,60,operating_regime,High_Vibration__Low_Temperature,Ridge,447,0.002831287452510883,0.004099932751444507,-2.529263817681935
vib_z_rms,60,operating_regime,High_Vibration__Low_Temperature,XGBoost,447,0.003298310213602496,0.005337832767589268,-4.982195252270431
mag_x,60,vibration_regime,Medium_Vibration,Persistence,2658,154.47862283182843,189.22015634756872,-0.9755249739695773
mag_x,60,vibration_regime,Medium_Vibration,Ridge,2658,117.54505903082477,134.96466058251588,-0.005050453713315584
mag_x,60,vibration_regime,Medium_Vibration,XGBoost,2658,118.05039713793045,136.04589651881375,-0.021218383365196214
mag_x,60,vibration_regime,Low_Vibration,Persistence,3178,153.13992052863435,187.03834999360288,-0.9830217309222151
mag_x,60,vibration_regime,Low_Vibration,Ridge,3178,115.5623907083021,132.85838883259183,-0.0005622447865345492
mag_x,60,vibration_regime,Low_Vibration,XGBoost,3178,116.11931904388939,134.05521760576858,-0.018670177965139922
mag_x,60,vibration_regime,High_Vibration,Persistence,447,145.51098861073825,179.16159509378394,-0.8900845196666283
mag_x,60,vibration_regime,High_Vibration,Ridge,447,111.0100397204741,130.47548459399334,-0.0024188423989273122
mag_x,60,vibration_regime,High_Vibration,XGBoost,447,110.86186458728764,130.83973894206417,-0.008023651695582501
mag_x,60,temperature_regime,Low_Temperature,Persistence,6283,153.16349814356198,187.41776686310752,-0.972473159567306
mag_x,60,temperature_regime,Low_Temperature,Ridge,6283,116.07727714944588,133.5864974616722,-0.0021084191523152995
mag_x,60,temperature_regime,Low_Temperature,XGBoost,6283,116.56221629549852,134.67616212398008,-0.018523486826313995
mag_x,60,operating_regime,Medium_Vibration__Low_Temperature,Persistence,2658,154.47862283182843,189.22015634756872,-0.9755249739695773
mag_x,60,operating_regime,Medium_Vibration__Low_Temperature,Ridge,2658,117.54505903082477,134.96466058251588,-0.005050453713315584
mag_x,60,operating_regime,Medium_Vibration__Low_Temperature,XGBoost,2658,118.05039713793045,136.04589651881375,-0.021218383365196214
mag_x,60,operating_regime,Low_Vibration__Low_Temperature,Persistence,3178,153.13992052863435,187.03834999360288,-0.9830217309222151
mag_x,60,operating_regime,Low_Vibration__Low_Temperature,Ridge,3178,115.5623907083021,132.85838883259183,-0.0005622447865345492
mag_x,60,operating_regime,Low_Vibration__Low_Temperature,XGBoost,3178,116.11931904388939,134.05521760576858,-0.018670177965139922
mag_x,60,operating_regime,High_Vibration__Low_Temperature,Persistence,447,145.51098861073825,179.16159509378394,-0.8900845196666283
mag_x,60,operating_regime,High_Vibration__Low_Temperature,Ridge,447,111.0100397204741,130.47548459399334,-0.0024188423989273122
mag_x,60,operating_regime,High_Vibration__Low_Temperature,XGBoost,447,110.86186458728764,130.83973894206417,-0.008023651695582501
mag_y,60,vibration_regime,Medium_Vibration,Persistence,2658,149.6007289251317,184.24858613134464,-0.9918801057202395
mag_y,60,vibration_regime,Medium_Vibration,Ridge,2658,112.39654148900317,130.62867646817767,-0.0012255400939886751
mag_y,60,vibration_regime,Medium_Vibration,XGBoost,2658,112.44810429999535,131.14220895468418,-0.009113126518474512
mag_y,60,vibration_regime,Low_Vibration,Persistence,3178,152.44930815040905,185.30962055034388,-1.0114713481419724
mag_y,60,vibration_regime,Low_Vibration,Ridge,3178,113.04647758301579,130.95849905130132,-0.004581774956169626
mag_y,60,vibration_regime,Low_Vibration,XGBoost,3178,113.65721565746686,132.2135140981756,-0.02392845960160339
mag_y,60,vibration_regime,High_Vibration,Persistence,447,151.7766307136465,185.23506459603863,-0.8766651375792218
mag_y,60,vibration_regime,High_Vibration,Ridge,447,117.76563088206501,135.82366514566948,-0.009000252929294517
mag_y,60,vibration_regime,High_Vibration,XGBoost,447,118.95233741528811,137.1663935075024,-0.02904845256403199
mag_y,60,temperature_regime,Low_Temperature,Persistence,6283,151.19637000063665,184.856180959652,-0.9929878070258462
mag_y,60,temperature_regime,Low_Temperature,Ridge,6283,113.10726564394042,131.17152980124177,-0.0034964857436776686
mag_y,60,temperature_regime,Low_Temperature,XGBoost,6283,113.52242358959911,132.12107576006403,-0.018077621079200634
mag_y,60,operating_regime,Medium_Vibration__Low_Temperature,Persistence,2658,149.6007289251317,184.24858613134464,-0.9918801057202395
mag_y,60,operating_regime,Medium_Vibration__Low_Temperature,Ridge,2658,112.39654148900317,130.62867646817767,-0.0012255400939886751
mag_y,60,operating_regime,Medium_Vibration__Low_Temperature,XGBoost,2658,112.44810429999535,131.14220895468418,-0.009113126518474512
mag_y,60,operating_regime,Low_Vibration__Low_Temperature,Persistence,3178,152.44930815040905,185.30962055034388,-1.0114713481419724
mag_y,60,operating_regime,Low_Vibration__Low_Temperature,Ridge,3178,113.04647758301579,130.95849905130132,-0.004581774956169626
mag_y,60,operating_regime,Low_Vibration__Low_Temperature,XGBoost,3178,113.65721565746686,132.2135140981756,-0.02392845960160339
mag_y,60,operating_regime,High_Vibration__Low_Temperature,Persistence,447,151.7766307136465,185.23506459603863,-0.8766651375792218
mag_y,60,operating_regime,High_Vibration__Low_Temperature,Ridge,447,117.76563088206501,135.82366514566948,-0.009000252929294517
mag_y,60,operating_regime,High_Vibration__Low_Temperature,XGBoost,447,118.95233741528811,137.1663935075024,-0.02904845256403199
mag_z,60,vibration_regime,Medium_Vibration,Persistence,2658,155.4552676704289,188.68698776997425,-1.0179055482302695
mag_z,60,vibration_regime,Medium_Vibration,Ridge,2658,114.73382387701204,133.08417627259345,-0.0038521960291977297
mag_z,60,vibration_regime,Medium_Vibration,XGBoost,2658,115.04753891429837,133.92509596592436,-0.01657836830289683
mag_z,60,vibration_regime,Low_Vibration,Persistence,3178,149.8927311441158,182.8539196838134,-0.9490364420859874
mag_z,60,vibration_regime,Low_Vibration,Ridge,3178,113.31058291975852,131.20923089834096,-0.0035527152097418746
mag_z,60,vibration_regime,Low_Vibration,XGBoost,3178,113.4607813874369,131.61207190699702,-0.009724427172973948
mag_z,60,vibration_regime,High_Vibration,Persistence,447,152.0827516308725,187.21165785216763,-1.062193558813886
mag_z,60,vibration_regime,High_Vibration,Ridge,447,111.88730995238402,130.561238299818,-0.0029797588086550864
mag_z,60,vibration_regime,High_Vibration,XGBoost,447,113.58140056052066,131.95147542775567,-0.024453260554070155
mag_z,60,temperature_regime,Low_Temperature,Persistence,6283,152.4017493272322,185.65323237653237,-0.9864609657181256
mag_z,60,temperature_regime,Low_Temperature,Ridge,6283,113.81142192150345,131.95995203314146,-0.0035968821372185378
mag_z,60,temperature_regime,Low_Temperature,XGBoost,6283,114.14063468630148,132.61950872978895,-0.013654225249506657
mag_z,60,operating_regime,Medium_Vibration__Low_Temperature,Persistence,2658,155.4552676704289,188.68698776997425,-1.0179055482302695
mag_z,60,operating_regime,Medium_Vibration__Low_Temperature,Ridge,2658,114.73382387701204,133.08417627259345,-0.0038521960291977297
mag_z,60,operating_regime,Medium_Vibration__Low_Temperature,XGBoost,2658,115.04753891429837,133.92509596592436,-0.01657836830289683
mag_z,60,operating_regime,Low_Vibration__Low_Temperature,Persistence,3178,149.8927311441158,182.8539196838134,-0.9490364420859874
