segment_id,start_time,end_time,rows,duration_minutes
0,2026-06-08 00:00:01,2026-06-08 08:52:35,22293,532.5666666666667
1,2026-06-08 09:18:54,2026-06-08 23:59:59,36902,881.0833333333334
