,count,mean,std,min,25%,50%,75%,max,missing,missing_percentage
vib_x_rms,59230.0,0.040633443001857165,0.08437813071013149,0.010757,0.01576125,0.016938,0.02544575,14.25494,0,0.0
vib_y_rms,59230.0,0.046043570454161735,0.0785764438515913,0.010227,0.014012,0.0151215,0.0321,2.838911,0,0.0
vib_z_rms,59230.0,0.02809311213911869,0.0687880756538047,0.011856,0.016365,0.017557,0.02081775,15.26794,0,0.0
mag_x,59230.0,229.70223961375993,132.31497229909462,0.014,115.15,229.586,344.246,458.752,0,0.0
mag_y,59230.0,229.8951450983454,132.54619973846735,0.0,115.08,231.189,345.016,458.738,0,0.0
mag_z,59230.0,228.98546301293266,132.2509846294259,0.0,115.22,228.494,343.1785,458.724,0,0.0
temperature,59230.0,45.0151504558001,1.8435405827062925,42.0,43.2077118375,45.56548839,46.5022013,49.364,0,0.0
