,vib_x_rms,vib_x_rms,vib_x_rms,vib_x_rms,vib_x_rms,vib_y_rms,vib_y_rms,vib_y_rms,vib_y_rms,vib_y_rms,vib_z_rms,vib_z_rms,vib_z_rms,vib_z_rms,vib_z_rms,mag_x,mag_x,mag_x,mag_x,mag_x,mag_y,mag_y,mag_y,mag_y,mag_y,mag_z,mag_z,mag_z,mag_z,mag_z,temperature,temperature,temperature,temperature,temperature,vibration_energy,vibration_energy,vibration_energy,vibration_energy,vibration_energy
,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
vibration_regime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevated,8879,0.07795881946165109,0.049020474640029586,0.012754,0.473179,8879,0.09707200230881856,0.06264744016683316,0.011261,0.816379,8879,0.04496554904831625,0.020862113553137926,0.012846,0.224598,8879,228.5783060266922,131.64403605150204,0.014,458.71,8879,227.55082522108344,132.7299336748809,0.0,458.654,8879,230.73806658531367,132.0966918526983,0.028,458.64,8879,45.72913761754364,1.23801971147236,42.25127243,49.02694137,8879,0.13336281965542598,0.08062082193195472,0.0224910562891119,0.9418448001836608
High,5920,0.1287407566722973,0.15853814854117823,0.012028,7.135309,5920,0.15668020633445945,0.1652850325317339,0.011083,1.426124,5920,0.07013418766891892,0.11698536023268478,0.013021,7.642777499999999,5920,230.5521751481419,132.52430469741745,0.042,458.682,5920,230.08243373986488,132.2884044402209,0.084,458.654,5920,227.64576450625,132.53890856816864,0.07,458.724,5920,45.453952650432434,1.4371762463665831,42.5,49.3412,5920,0.21621530821672985,0.255795926038547,0.023073751385502966,10.552654268162264
Low,14799,0.0161901755073541,0.0012863901760693105,0.011523,0.023099,14799,0.014337907054530712,0.0011708697958881134,0.010227,0.028839,14799,0.01685810647115796,0.0013584633766580297,0.011856,0.022464,14799,231.92912027141472,131.95917374374415,0.014,458.752,14799,230.749401492308,132.56107927860143,0.0,458.668,14799,229.0440358101223,132.34409552297848,0.0,458.668,14799,44.05066618896626,1.9399772710804606,42.0,49.18341366,14799,0.027479235313239096,0.0012867335734460302,0.02176167900231965,0.04176943794211265
Normal,29597,0.02381439015778626,0.028631897472993953,0.010757,0.380956,29597,0.024439466449302297,0.03625515750126824,0.01043,0.574085,29597,0.01999253133763557,0.012033414379223421,0.012056,0.209781,29597,228.72720535865122,132.60861320484332,0.028,458.724,29597,230.12391834540662,132.5210136086932,0.028,458.738,29597,228.67661625210326,132.1647031148631,0.028,458.724,29597,45.19362100747745,1.831018526908168,42.0,48.85000074,29597,0.04036754929900618,0.04704888756555962,0.02307680064480343,0.6795343246628532
