sensor,horizon_samples,approx_horizon_seconds,model,MAE,RMSE,R2,evaluation_points
vib_x_rms,1,1.0,Persistence,0.0053983945499999995,0.07215150781319733,0.40797980168417614,10000
vib_x_rms,1,1.0,RecentMean30,0.007080233914444445,0.07438661867126806,0.37073244957979057,10000
vib_x_rms,1,1.0,LinearTrend30,0.006125183058275863,0.07343845166595074,0.3866720941905315,10000
vib_x_rms,5,5.0,Persistence,0.005509480400000001,0.015606011798696362,0.9343800802106089,10000
vib_x_rms,5,5.0,RecentMean30,0.00714283982111111,0.024674937470463613,0.8359546384978476,10000
vib_x_rms,5,5.0,LinearTrend30,0.0067264069468199236,0.023617050770218227,0.8497193171463813,10000
vib_x_rms,10,10.0,Persistence,0.006535621066666667,0.020974955794678354,0.8815517873083367,10000
vib_x_rms,10,10.0,RecentMean30,0.008109476734444445,0.028360891100796228,0.783446030934089,10000
vib_x_rms,10,10.0,LinearTrend30,0.008639174149576075,0.031155301036177127,0.7386693748551574,10000
vib_x_rms,30,30.0,Persistence,0.010834285300000001,0.07894423471323983,0.2892892870124165,10000
vib_x_rms,30,30.0,RecentMean30,0.012017906393333335,0.08087475463449438,0.2541045190471849,10000
vib_x_rms,30,30.0,LinearTrend30,0.01711616252228155,0.09327959695272033,0.007740317158426602,10000
vib_x_rms,60,60.0,Persistence,0.014810616450000001,0.08426995121027528,0.19511098013956674,10000
vib_x_rms,60,60.0,RecentMean30,0.01531052828777778,0.08511572072327166,0.17887347821748267,10000
vib_x_rms,60,60.0,LinearTrend30,0.02821200201170066,0.12511581425885296,-0.7742504794020195,10000
vib_x_rms,300,300.0,Persistence,0.025688806950000004,0.09936157815856829,-0.12340559265408246,10000
vib_x_rms,300,300.0,RecentMean30,0.025701675314444446,0.09955437045316973,-0.12776933296540816,10000
vib_x_rms,300,300.0,LinearTrend30,0.10548987225297118,0.42708758463945423,-19.755514984137626,10000
vib_x_rms,600,600.0,Persistence,0.03018421895,0.07970058377441583,-0.7231497016027408,10000
vib_x_rms,600,600.0,RecentMean30,0.02986787535666666,0.07883865445164964,-0.6860809101515937,10000
vib_x_rms,600,600.0,LinearTrend30,0.19777581194148935,0.824155266484897,-183.25449038550508,10000
vib_y_rms,1,1.0,Persistence,0.005583905750000001,0.020592614428978535,0.9327129451773417,10000
vib_y_rms,1,1.0,RecentMean30,0.0078168889,0.030748914141117672,0.8499734538433726,10000
vib_y_rms,1,1.0,LinearTrend30,0.0064248178728735636,0.02442977413468325,0.9053005521020989,10000
vib_y_rms,5,5.0,Persistence,0.006635092499999999,0.02073786283392047,0.9295538516083542,10000
vib_y_rms,5,5.0,RecentMean30,0.008462274203333332,0.03041799241736944,0.8484379912453147,10000
vib_y_rms,5,5.0,LinearTrend30,0.007939209069317762,0.026811697766755887,0.882245398131176,10000
vib_y_rms,10,10.0,Persistence,0.00773151085,0.027177072771692595,0.8777087712691517,10000
vib_y_rms,10,10.0,RecentMean30,0.009604972276666667,0.035423293565431765,0.7922371803612833,10000
vib_y_rms,10,10.0,LinearTrend30,0.010190281639362257,0.0363628212629751,0.7810700910089843,10000
