sensor,model,MAE,RMSE,R2
vib_x_rms,Persistence,0.0014149890654943072,0.0026674211185178133,-0.23667901636794797
vib_x_rms,Ridge_Multivariate,0.0026003573403403824,0.003532106151852733,-1.1684095715821394
vib_x_rms,RandomForest_Multivariate,0.0016780387521364497,0.010892035798002419,-19.62015575557019
vib_x_rms,XGBoost_Multivariate,0.0022652739941497538,0.009564446896184792,-14.899868839939082
vib_y_rms,Persistence,0.0013994711982865517,0.0034436176282554055,-0.0859960619186333
vib_y_rms,Ridge_Multivariate,0.001336944538235613,0.003099156962122288,0.12039933208368858
vib_y_rms,RandomForest_Multivariate,0.0013070316005488968,0.003949665760323418,-0.42862779665258954
vib_y_rms,XGBoost_Multivariate,0.0013902526748766331,0.00370086197442042,-0.25430797052125453
vib_z_rms,Persistence,0.0013827647390373126,0.0021051406356655984,-0.31279004055300264
vib_z_rms,Ridge_Multivariate,0.0027034573298940897,0.0033482388480941356,-2.320977293700505
vib_z_rms,RandomForest_Multivariate,0.001743365496252799,0.014888566403074028,-64.66573484088946
vib_z_rms,XGBoost_Multivariate,0.0024591795894169195,0.009960829013970801,-28.39165318879829
mag_x,Persistence,154.3816469958291,188.94360303310822,-0.9995622062788923
mag_x,Ridge_Multivariate,115.9967578325201,133.60410751014848,0.00020685569225187272
mag_x,RandomForest_Multivariate,116.16683148911768,133.83140663677077,-0.0031979111736464283
mag_x,XGBoost_Multivariate,116.45976495992251,134.5027595646294,-0.01328805588419013
mag_y,Persistence,152.83612182144066,186.89341729971625,-1.0122650785452176
mag_y,Ridge_Multivariate,114.07583678151501,131.87923882005765,-0.001959215146345672
mag_y,RandomForest_Multivariate,114.3813988247253,132.16257637180863,-0.006269182959997677
mag_y,XGBoost_Multivariate,115.4366317673454,134.03164644932212,-0.03493216627367701
mag_z,Persistence,152.89394458437607,187.10752362952456,-1.0270075507281478
mag_z,Ridge_Multivariate,113.42624197793688,131.63584872266296,-0.0032778413930860673
mag_z,RandomForest_Multivariate,113.38982683525218,131.70328654795966,-0.004306075076693006
mag_z,XGBoost_Multivariate,114.14255997676561,132.6276298650779,-0.018452742115734555
temperature,Persistence,0.004984469139894009,0.011792394793168171,0.9990589791316974
temperature,Ridge_Multivariate,0.00802281954463249,0.013356965650197433,0.9987927120885046
temperature,RandomForest_Multivariate,0.9128198443211051,0.9850683619527075,-5.566409687075161
temperature,XGBoost_Multivariate,0.9680621673773181,1.038279927908166,-6.294980753868793
