resolution_seconds,sensor,samples,mean,std,q01,q99,lag1_autocorrelation,persistence_MAE,persistence_RMSE,difference_std
1,vib_x_rms,59195,0.04052326295013656,0.06752857824820234,0.01352094,0.34138857999999955,0.801675637068123,0.004115649908211417,0.04252929702356162,0.04252965623256942
1,vib_y_rms,59195,0.0460337985471746,0.07795730437699787,0.012011,0.42977885999999593,0.9825252479448625,0.004537019224921444,0.014573859368016449,0.014573982329549127
1,vib_z_rms,59195,0.02796934823324042,0.0423133285530091,0.01404694,0.16242575999999967,0.44423933826069945,0.0027385059465486364,0.04461026548787797,0.044610642300034004
1,mag_x,59195,229.68787573248866,132.29781469605737,4.927160000000001,454.216,0.004347495950521818,152.39711303245824,186.69012119764528,186.6916981514541
1,mag_y,59195,229.89018986116506,132.5397022029933,4.41,453.79684,0.0016995806174219192,153.09277528404905,187.27782608912827,187.2794079388672
1,mag_z,59195,228.9745876553003,132.23609027753335,4.564,454.314,-0.0029827076452231586,153.07334901836336,187.2876279082695,187.28920987597044
1,temperature,59195,45.014238068849586,1.843292118091376,42.0,48.238988171399996,0.9999419155964708,0.007124306217690974,0.019867196919398637,0.019867288869453555
5,vib_x_rms,16966,0.04081308605740894,0.08141454652357827,0.014495075,0.3431929874999958,0.5423603713204405,0.00423726376854308,0.07788829349843379,0.0778905889183351
5,vib_y_rms,16966,0.046078984361860975,0.0780049404894449,0.0128394,0.4339605041666655,0.9673431439375001,0.004266170606149916,0.019934956603250103,0.019935542954001226
5,vib_z_rms,16966,0.028284968478132735,0.0649379955029879,0.01506755,0.16424418749999986,0.18450375041704653,0.0029346772610276063,0.08293214232922327,0.08293458660514931
5,mag_x,16966,229.5885707344984,71.47623416538056,66.68970233333334,386.82647499999996,0.003985438856013477,81.37592959634542,100.88080258589721,100.88377589425883
5,mag_y,16966,230.02129749784865,72.0503957936289,68.02436666666667,392.30934166666657,-0.009628665767453217,81.89201219477356,102.381321200032,102.38433873490987
5,mag_z,16966,229.04164689706127,71.47133053711362,69.74123333333333,389.0460583333333,0.018191840984328758,80.40836345113469,100.14911939502025,100.15207115897859
5,temperature,16966,45.01532820936279,1.8437485307365997,42.0,48.238606282,0.9998531339733558,0.014146502802043423,0.03159895025798279,0.03159930086899535
10,vib_x_rms,8483,0.040601217204577225,0.06326464183209209,0.014986965714285715,0.3386552971428586,0.8859097355878183,0.003967744642997496,0.03021896067366213,0.03022073979203242
10,vib_y_rms,8483,0.046030794535148724,0.07708733806210467,0.013248522857142857,0.4220553800000003,0.9739341873536856,0.004405371677838784,0.017600073206381916,0.01760110505349538
10,vib_z_rms,8483,0.028059134794940016,0.03487367049863902,0.015530703571428571,0.16504462571428577,0.6337506207848596,0.0023137004384635247,0.029846092756442184,0.029847851808377197
10,mag_x,8483,229.70021302699166,49.73938085083031,115.99950666666666,340.43944000000005,0.008184445325601785,56.154155070732415,70.04949855166949,70.05362792020786
10,mag_y,8483,229.88916718968184,50.36891989263672,112.25808025714285,345.36816000000005,-0.007913784601707462,57.20859553772414,71.51006406852048,71.5142790582355
10,mag_z,8483,228.98675915344626,50.45994551123087,115.16628,343.59136,-0.00021767977975468741,57.32414049178793,71.36612435083491,71.37033163682285
10,temperature,8483,45.01536149974251,1.843750443674855,42.0,48.235306266885715,0.9996960269028393,0.022010333463275168,0.04545947961273524,0.045460544698970304
30,vib_x_rms,2829,0.041004889074602736,0.06816240448483914,0.01549892657142857,0.32274585333333333,0.7038414576940298,0.006720404513133241,0.05245387218641095,0.05246313809909272
30,vib_y_rms,2829,0.046095582373204214,0.07632786952979123,0.01372896761904762,0.4022997961904735,0.9211000564933111,0.00696338929014142,0.03031623355426504,0.030321563624155203
30,vib_z_rms,2829,0.028501495671806085,0.04522704165656617,0.016121377142857142,0.16352912952380633,0.3498431274402824,0.0038020865140239854,0.051570244625576585,0.05157936237785367
30,mag_x,2829,229.69017843657306,28.990075231658242,161.0684274857143,297.73626679999995,0.003031016995403309,32.391854686774785,40.92610280153132,40.933336072907295
30,mag_y,2829,229.87231577631835,28.43143794460629,166.04277367619048,296.24712,0.010707401474307304,31.634863147592146,39.982980431052034,39.990045403112354
30,mag_z,2829,229.02477400084285,29.343754258222695,162.41730666666666,296.7221334666666,-0.01369185945399129,33.1764947498827,41.77443772290963,41.781824269430516
30,temperature,2829,45.017162207777126,1.8451894564146856,42.0,48.249842358419045,0.9990707752270861,0.04404340623746234,0.07953974283250499,0.07954550534793163
60,vib_x_rms,1415,0.041627344556927286,0.07501719350268402,0.01570442761904762,0.32812677857142664,0.5134350735423755,0.010811553782837798,0.0739906124226239,0.07401676116772345
60,vib_y_rms,1415,0.046211511112306446,0.07545402202209732,0.013872446666666666,0.37260312166666604,0.8445622394051253,0.01073256620084482,0.0420587453621061,0.04207353865977324
60,vib_z_rms,1415,0.029171949607657933,0.05741139712799001,0.016373898048780488,0.173458544761901,0.1941370047659708,0.0062078825618219246,0.07288118371099914,0.072906961686119
60,mag_x,1415,229.72231434046523,20.774129737216782,181.16034443577234,277.55169166666644,-0.007363262199340616,23.74883991411053,29.468112156316266,29.478514469674884
60,mag_y,1415,229.85040204804176,20.502345891375132,183.66664673333332,277.4235002047618,0.016195464642479847,22.806082496918318,28.7547111440384,28.76488073089221
60,mag_z,1415,229.00405064189692,20.83282402835359,179.48010003333334,275.1084080217886,-0.0530315323439787,24.167972282094986,30.229464378941866,30.24015547911176
60,temperature,1415,45.01864572783812,1.8465065585225404,42.0,48.20830813709048,0.9980227927988976,0.06823953474783571,0.11609644952923186,0.11611476156164961
