loss,mae,val_loss,val_mae,learning_rate
0.5875241160392761,0.44061043858528137,0.5143043398857117,0.4591449499130249,0.0010000000474974513
0.5627965927124023,0.42022404074668884,0.4997422993183136,0.44893738627433777,0.0010000000474974513
0.5610484480857849,0.4167146682739258,0.5007979273796082,0.4530412554740906,0.0010000000474974513
0.5604676604270935,0.4158453643321991,0.4947318434715271,0.4493917226791382,0.0010000000474974513
0.5602326989173889,0.41498157382011414,0.48575323820114136,0.4404192864894867,0.0010000000474974513
0.5596317648887634,0.4136106073856354,0.47954607009887695,0.43968141078948975,0.0010000000474974513
0.559421181678772,0.4130781590938568,0.48254501819610596,0.44227948784828186,0.0010000000474974513
0.5591421723365784,0.4126313626766205,0.47908270359039307,0.43799665570259094,0.0010000000474974513
0.5588510036468506,0.411952406167984,0.4834482669830322,0.44021472334861755,0.0010000000474974513
0.5584825277328491,0.41132795810699463,0.48434069752693176,0.44571563601493835,0.0010000000474974513
0.5577389597892761,0.4098847210407257,0.4849647283554077,0.4439438581466675,0.0005000000237487257
0.5576296448707581,0.40966108441352844,0.4810630977153778,0.44251811504364014,0.0005000000237487257
0.5573237538337708,0.4087732136249542,0.48496925830841064,0.44508370757102966,0.0002500000118743628
