sensor,model,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,folds
vib_x_rms,Persistence,0.0154965787442783,0.0171692857157214,0.0395726078999483,0.0434932159010647,-0.920716742534465,0.229333862444337,5
vib_x_rms,Ridge,0.0195445406483753,0.013035062536139,0.038114476237085,0.0323057142565796,-14.61241146409817,23.95362612701563,5
vib_x_rms,XGBoost,0.0192503299293599,0.0141505318118743,0.0365002218888322,0.0314727464092618,-8.375215461029214,16.493671299452622,5
vib_y_rms,Persistence,0.0190653196666953,0.0204929582531456,0.0498459671446837,0.053666516611962,-0.9350449908460232,0.2108588375403613,5
vib_y_rms,Ridge,0.0237643837229352,0.0153012772755821,0.0476445048619604,0.0405801316006873,-12.567122586194468,18.216780808697635,5
vib_y_rms,XGBoost,0.0249736086731451,0.017311791452458,0.0465639183533061,0.0381995479681772,-7.574727962776895,14.764049672322516,5
vib_z_rms,Persistence,0.0065360387618221,0.0060028005282523,0.0161977308167703,0.0156289327228585,-0.9494192868277233,0.0816628735020718,5
vib_z_rms,Ridge,0.0078207101014741,0.0046629548791178,0.0159265978015859,0.012707676952087,-3.1907572445956585,3.665662241291671,5
vib_z_rms,XGBoost,0.0082761144407876,0.0050735427128873,0.0153055377179442,0.0115445383073045,-2.6136714966897685,4.212186426664816,5
mag_x,Persistence,153.24604892905586,0.9242818010826132,187.2131897370553,1.4582631376725304,-1.0005602072202715,0.0213342957942277,5
mag_x,Ridge,114.77664885397895,1.2466365743896246,132.4988044583088,0.9957805570659616,-0.0020382993701131,0.0007270195792116,5
mag_x,XGBoost,115.310538509408,1.1493025629062814,133.4951061331417,0.8251274143880801,-0.0171994889627375,0.0072351225366781,5
mag_y,Persistence,151.67213438737315,1.5842981216115763,185.512579300994,1.393095992202013,-0.970487407079448,0.0400857353537636,5
mag_y,Ridge,114.55468800475084,1.2535217221890576,132.38728132349746,1.089498604864989,-0.0033328035104026,0.0031104202817462,5
mag_y,XGBoost,115.03216459759874,1.20376613802053,133.47581063812726,1.1566411906241696,-0.0199008427139358,0.0052258721508505,5
mag_z,Persistence,152.66524539843454,1.1713246575736656,186.49205024932797,1.0498498749328766,-1.008202983536998,0.0205730382537229,5
mag_z,Ridge,113.91166370516024,0.6485766390239351,131.70231842984123,0.559923823556799,-0.0015230785867028,0.0019719670823941,5
mag_z,XGBoost,114.66592909641976,0.9679377665223258,132.99252202440584,0.935391624174264,-0.0212360473860265,0.0074204517231625,5
temperature,Persistence,0.1247795591918091,0.0589587058269909,0.1894856139755565,0.0830861733417011,0.8170880960750979,0.1713764786732808,5
temperature,Ridge,0.163527799725467,0.0377212124461475,0.2102746158976366,0.063410803236738,0.7564946976655105,0.1690342457706946,5
temperature,XGBoost,0.447239907399832,0.1471047872133035,0.5415470308081181,0.1804231701475337,-0.8709094092098713,2.157479009187039,5
