sensor,model,average_MAE,average_RMSE,average_R2
mag_x,Ridge,114.90175086694968,132.88336649712488,-0.0025959287071243126
mag_x,XGBoost,115.23219683338765,133.79398117961043,-0.01633541612545018
mag_x,Persistence,151.34608029799486,185.46542424757408,-0.9528193726691639
mag_y,Ridge,114.21779507887263,132.28474444736267,-0.004730231671797615
mag_y,XGBoost,114.80539119072854,133.30932984011264,-0.02032252834963149
mag_y,Persistence,151.26424365414445,184.92038907358662,-0.9647172842726733
mag_z,Ridge,113.38212220283037,131.66703471066376,-0.0034808888903439883
mag_z,XGBoost,114.04572520154477,132.51382790444902,-0.016452333901341216
mag_z,Persistence,152.46617860258092,186.1654804269204,-1.0063902948540588
temperature,Persistence,0.08093972772095917,0.15388762002368644,0.8375932070170403
temperature,Ridge,0.1942826451064421,0.2204036021861203,0.6698861566311722
temperature,XGBoost,1.436518385355429,1.4871672837850627,-13.991379929859525
vib_x_rms,Persistence,0.0023312359484941036,0.00450003723905077,-2.0307279993292022
vib_x_rms,Ridge,0.00488210759765683,0.006559683263137138,-6.423846938236847
vib_x_rms,XGBoost,0.006842369080312562,0.01138833533131473,-24.875213992247563
vib_y_rms,Persistence,0.0027669360408462407,0.006924388703989597,-2.8389556680429715
vib_y_rms,Ridge,0.005661770556978606,0.008087579040400467,-3.7367560182034643
vib_y_rms,XGBoost,0.007505834296896003,0.01579903212519326,-18.296308209095034
vib_z_rms,Persistence,0.001984295472072348,0.003266066161294764,-2.1057465140532767
vib_z_rms,Ridge,0.002411532700230322,0.0033726736745327097,-2.0909227618389417
vib_z_rms,XGBoost,0.0031942593387219377,0.00541208603832255,-7.201161242322617
