sensor,strategy,feature_set,target_type,val_MAE,val_RMSE,val_R2,test_MAE,test_RMSE,test_R2
vib_x_rms,Persistence,None,Absolute,0.04453422948595146,0.09985061115960261,-0.8591304994260687,0.0017093543495610537,0.0033824255772263285,-1.4212837759630403
vib_x_rms,Original_Ridge,Original_146,Absolute,0.04808285716803439,0.08903767606225958,-0.4782777934797422,0.006962860950494822,0.0090329868059245,-16.268393813930174
vib_x_rms,Delta_Ridge,Original_146,Delta,0.04809289249998924,0.08903883072770684,-0.4783161351668337,0.006961779902456752,0.009031288850567655,-16.261902449193457
vib_x_rms,Improved_Delta_Ridge,Original_plus_Temporal,Delta,0.04809289249998924,0.08903883072770684,-0.4783161351668337,0.006961779902456752,0.009031288850567655,-16.261902449193457
vib_x_rms,XGBoost_Delta,Original_plus_Temporal,Delta,0.04288368173438641,0.0935034660769847,-0.6302861566821603,0.005740158831293846,0.014564273629649405,-43.89178270920695
vib_y_rms,Persistence,None,Absolute,0.05256625231481482,0.12299274189893956,-0.8665883750444867,0.0018248399042298483,0.005284964884629203,-1.0377294824728653
vib_y_rms,Original_Ridge,Original_146,Absolute,0.05734875655203696,0.11020325485201563,-0.49857482708133416,0.0078149037428897,0.010551385790849395,-7.122342932789014
vib_y_rms,Delta_Ridge,Original_146,Delta,0.057354545915521964,0.11021238199902363,-0.49882306438011015,0.007815102330153872,0.010553427635380658,-7.12548681673041
vib_y_rms,Improved_Delta_Ridge,Original_plus_Temporal,Delta,0.057354545915521964,0.11021238199902363,-0.49882306438011015,0.007815102330153872,0.010553427635380658,-7.12548681673041
vib_y_rms,XGBoost_Delta,Original_plus_Temporal,Delta,0.04949275438065949,0.10876751104790712,-0.45978188856537283,0.00564936190449193,0.010835977098709372,-7.566402454488049
vib_z_rms,Persistence,None,Absolute,0.01623842935823755,0.037332580696840006,-0.8887444756982117,0.0016419209896249003,0.002621469439917503,-1.0471345630568507
vib_z_rms,Original_Ridge,Original_146,Absolute,0.01884451565328796,0.03505313803637486,-0.6651408995880803,0.0035381118485804863,0.004622694799120923,-5.365715644813416
vib_z_rms,Delta_Ridge,Original_146,Delta,0.01883330810247327,0.035041451033697754,-0.6640307415197695,0.0035387480757059445,0.004624093477760025,-5.369568348853765
vib_z_rms,Improved_Delta_Ridge,Original_plus_Temporal,Delta,0.01883330810247327,0.035041451033697754,-0.6640307415197695,0.0035387480757059445,0.004624093477760025,-5.369568348853765
vib_z_rms,XGBoost_Delta,Original_plus_Temporal,Delta,0.015284960241194008,0.036678452102951155,-0.8231364784645194,0.0032035539655003074,0.009796587363051352,-27.58949103036375
mag_x,Persistence,None,Absolute,154.0081653275862,188.3881249649408,-1.02653525924342,153.1963104303272,187.43496405201492,-0.972507819249866
mag_x,Original_Ridge,Original_146,Absolute,115.08080324215841,133.32599574730258,-0.015025116706493424,116.19090199368442,133.8338850314357,-0.0056565563723454115
mag_x,Delta_Ridge,Original_146,Delta,115.08048540197592,133.326396370592,-0.015031216691868243,116.18931294025761,133.83060417804927,-0.005607250902713856
mag_x,Improved_Delta_Ridge,Original_plus_Temporal,Delta,115.08048540197592,133.326396370592,-0.015031216691868243,116.18931294025761,133.83060417804927,-0.005607250902713856
mag_x,XGBoost_Delta,Original_plus_Temporal,Delta,115.2087683553841,133.506769688552,-0.01777948557479392,116.58435017225624,134.4284627406228,-0.014611974410828843
mag_y,Persistence,None,Absolute,151.80735934802044,186.22448055195832,-0.967879567338281,151.17613163830805,184.82977705082965,-0.9936505613674211
mag_y,Original_Ridge,Original_146,Absolute,115.97759134374255,134.4379073572619,-0.0255774441578962,113.21755946476354,131.35132811613366,-0.006871612863774912
mag_y,Delta_Ridge,Original_146,Delta,115.97723487681318,134.4382021652428,-0.025581942126557067,113.21729648447014,131.35192236028826,-0.006880723223485985
mag_y,Improved_Delta_Ridge,Original_plus_Temporal,Delta,115.97723487681318,134.4382021652428,-0.025581942126557067,113.21729648447014,131.35192236028826,-0.006880723223485985
mag_y,XGBoost_Delta,Original_plus_Temporal,Delta,115.66551355588076,134.24309054799602,-0.02260722597686393,113.44861441906738,132.21061767117493,-0.020088445725634285
mag_z,Persistence,None,Absolute,152.327913954023,186.25526635558816,-1.0190737800951122,152.31739872833202,185.57213655713682,-0.9819945850919436
mag_z,Original_Ridge,Original_146,Absolute,114.10089246574988,132.2077520883312,-0.017299681720108095,114.00911713470573,132.25436022959033,-0.006692714690612833
mag_z,Delta_Ridge,Original_146,Delta,114.10014078675766,132.20803677419323,-0.017304062872409043,114.00809625422671,132.25468456664728,-0.006697652269262555
mag_z,Improved_Delta_Ridge,Original_plus_Temporal,Delta,114.10014078675766,132.20803677419323,-0.017304062872409043,114.00809625422671,132.25468456664728,-0.006697652269262555
mag_z,XGBoost_Delta,Original_plus_Temporal,Delta,114.38982408388583,132.62861445926742,-0.02378681446505393,114.32904000793717,133.0316235567776,-0.01856021932414409
temperature,Persistence,None,Absolute,0.1331289909099616,0.19376364153603678,0.7861513190487464,0.07199231888427768,0.1470350616156874,0.8553073307173867
temperature,Original_Ridge,Original_146,Absolute,0.1626791629501482,0.20638104687906708,0.7573939525895329,0.1951721445241925,0.22060222984360806,0.6742949376614836
temperature,Delta_Ridge,Original_146,Delta,0.16239528059882125,0.20619931436328814,0.7578210266464591,0.19425617930964298,0.21979268761935922,0.676681025991541
temperature,Improved_Delta_Ridge,Original_plus_Temporal,Delta,0.16239528059882125,0.20619931436328814,0.7578210266464591,0.19425617930964298,0.21979268761935922,0.676681025991541
temperature,XGBoost_Delta,Original_plus_Temporal,Delta,0.18376229641203057,0.23448714203050802,0.6868156392571135,0.13732339972869864,0.18222248781525843,0.7777669452460044
