sensor,split,train_mean,split_mean,mean_change_percent,train_std,split_std,std_change_percent
vib_x_rms,Validation,0.045152425717469406,0.04318830690862783,-4.349974065818935,0.06372013084377037,0.07314613697936226,14.792822944062573
vib_x_rms,Test,0.045152425717469406,0.016323109660989973,-63.84887544300179,0.06372013084377037,0.0021715595481795955,-96.59203532637154
vib_y_rms,Validation,0.053095532866011735,0.04589943306271888,-13.553117211040917,0.08243369766939868,0.08991635815049062,9.077186505706043
vib_y_rms,Test,0.053095532866011735,0.014632795320706667,-72.44062818173914,0.08243369766939868,0.0036976027744235556,-95.51445236606031
vib_z_rms,Validation,0.030664242433028607,0.026050909105380455,-15.044667539311721,0.03132622506275267,0.027132596576288026,-13.386957662246573
vib_z_rms,Test,0.030664242433028607,0.016940499124621995,-44.75487479572348,0.03132622506275267,0.0018316656080824604,-94.15293223056786
mag_x,Validation,229.5095122348092,228.7582874745304,-0.32731748369114544,131.88131923101028,132.42158897795844,0.40966359003566394
mag_x,Test,229.5095122348092,231.33352903835748,0.79474562330216,131.88131923101028,133.45651246751473,1.1944020924944216
mag_y,Validation,229.15005617245419,228.8823363253741,-0.11683167421028479,132.5473548940717,132.81278587019662,0.20025369524502498
mag_y,Test,229.15005617245419,231.0501911266911,0.8292099011343418,132.5473548940717,130.95323137127792,-1.2026822595349025
mag_z,Validation,229.92638623505934,229.00523526711237,-0.40062864598987447,132.39662321534797,131.23879100096653,-0.874517934266479
mag_z,Test,229.92638623505934,225.53855178640774,-1.9083648990880906,132.39662321534797,131.73375190324978,-0.5006708600263924
temperature,Validation,46.056450497017735,42.98614924524674,-6.666387050321506,1.1134368399439716,0.41886975003933496,-62.38046604771614
temperature,Test,46.056450497017735,42.32791550339329,-8.09557608844779,1.1134368399439716,0.38807773777609933,-65.14595854433207
