sensor,best_feature_set,best_model,validation_RMSE,validation_MAE,validation_R2,test_RMSE,test_MAE,test_R2
vib_x_rms,RegimeAware,XGBoost,0.07674785808599237,0.034357071372946336,-0.10123301598222811,0.008634199466019465,0.005350348391608842,-14.809203149969422
vib_y_rms,RegimeAware,XGBoost,0.09495401413521544,0.04293115440050063,-0.11552417231685674,0.01773372910556486,0.012754949351602575,-22.00170852211477
vib_z_rms,RegimeAware,XGBoost,0.029864445183502744,0.01329505381759779,-0.2118754482474683,0.0056218666300666825,0.0036766451672654134,-8.420681049477512
mag_x,Baseline,Ridge,132.86486859444193,114.86228658691589,-0.0069968215687103985,133.60486733594607,116.08801525051459,-0.0022512433731562975
mag_y,Baseline,Ridge,133.68261035093886,115.55637350659202,-0.01304062891131208,131.16779171232642,113.10428272390594,-0.0037024719774589876
mag_z,Baseline,Ridge,131.64990346820792,113.84603206116897,-0.006514962287445858,131.98069675873853,113.82559909666774,-0.0038382838984518663
temperature,Persistence,Persistence,0.19239440372134492,0.1317618207989813,0.7889731343666309,0.1482441532982078,0.07277793281757398,0.8539478120464598
