sensor,best_model,MAE,RMSE,R2,sMAPE_percent
vib_x_rms,LSTM,0.0016838824460937592,0.002751339754033296,-0.3162577112305771,9.740258230113156
vib_y_rms,LSTM,0.0045527338198134825,0.005382787778946622,-1.7483654959435704,26.934808640466347
vib_z_rms,LSTM,0.001198951010602841,0.0018676525404357372,-0.031380240677186144,6.954624033858327
mag_x,XGBoost,0.8831408531963713,1.0192933126604464,-0.013276847640393497,174.22744901485154
mag_y,XGBoost,0.8654453474708922,1.0025613402764466,-0.019761317276146828,173.36803653183705
mag_z,XGBoost,0.8607791934034711,1.001043854894542,-0.017723739548805018,174.3451580877751
temperature,Persistence,0.004384488881039782,0.010349746317799809,0.9990578208466832,0.1453465898685218
