ts,vibration_mean,vibration_std,vibration_max,temperature_mean,temperature_std,mag_x_mean,mag_y_mean,mag_z_mean,samples,vibration_regime
2026-06-08 00:00:00,0.10942591924372883,0.08293606605775207,0.2691434123473952,46.09796663118479,0.6607264198335531,230.8754915499801,230.0212211600956,228.8264262536838,2511,Elevated
2026-06-08 01:00:00,0.12108558960461463,0.09090175850516637,0.29284378658253957,46.31073342209543,0.30307141229580553,229.34705383697812,230.77067843021868,230.60060213638172,2515,Elevated
2026-06-08 02:00:00,0.0487481174559702,0.04982412768670773,0.2077087624174772,46.893257356745714,0.11839464130097835,228.24214241211638,229.488348856118,231.66473507174172,2509,Normal
2026-06-08 03:00:00,0.077183059564056,0.05900682931720815,0.2076656269800084,47.13299116108982,0.41784597057364614,226.85317777724552,227.01800613692615,231.65468316267467,2505,Normal
2026-06-08 04:00:00,0.13376893992007674,0.03715250017078269,0.19465253597628776,46.142975044904496,0.20002885252511554,228.8405098822125,227.94544580262635,229.99946249582175,2513,Elevated
2026-06-08 05:00:00,0.0719124505514833,0.053709953795449406,0.1834067301491415,47.08865705000597,0.3413423671250289,223.17218609514333,231.86580424920382,227.2212067802548,2512,Normal
2026-06-08 06:00:00,0.2393045545375993,0.3132921670404382,1.17705820340967,46.32657089804296,0.1805697928428986,227.02862786515516,231.40566601193316,230.88549416945108,2514,High
2026-06-08 07:00:00,0.027887466732548397,0.001326347141404197,0.03309790449560213,46.84985116162624,0.2652961253688477,228.7193417184891,231.2212335280318,229.81646850974155,2515,Normal
2026-06-08 08:00:00,0.028702033307180456,0.007829522548679128,0.2758567856171024,46.375472646812185,0.6482957789671127,229.870596737608,230.1252834524784,233.090727258754,2199,Normal
2026-06-08 09:00:00,0.11593354664428307,0.2566258615905939,10.552654268162264,46.32309996488386,1.055323185572407,229.05668707955863,233.45650828222995,229.0175407804878,1722,Elevated
2026-06-08 10:00:00,0.1295458526036415,0.043128531379495585,0.19662303165702635,45.69672076683771,0.23289713766092648,225.35215842283213,229.1890215755768,225.45338839339698,2514,Elevated
2026-06-08 11:00:00,0.049616058893596875,0.07691611012815715,0.5102540994935758,47.40156971637739,0.7160141878652316,227.42971318152865,227.98611555812104,231.28529755254775,2512,Normal
2026-06-08 12:00:00,0.04704796773295381,0.046191489111405984,0.4087627125240265,46.17922293926014,0.5225125755276974,232.80545994431188,226.000362991249,228.0613254988067,2514,Normal
2026-06-08 13:00:00,0.028137720072871217,0.0026766156616449734,0.09142978994288459,45.01275517883758,0.4182486923617339,230.80593406409233,227.7429046178344,226.07250173288216,2512,Normal
2026-06-08 14:00:00,0.02754420773317933,0.0012716945656682567,0.03209728262641559,44.67343879890924,0.5598663948998289,236.09019837619425,229.8929690772293,230.84196511544584,2512,Low
2026-06-08 15:00:00,0.02763858184494021,0.0012813769448721216,0.03226671681469932,44.577256895626164,0.6344970063356196,230.34977170863212,229.6383319106242,229.70712245458168,2510,Normal
2026-06-08 16:00:00,0.027859354654986443,0.0037797270706046086,0.12590263270082958,43.40497961820207,0.20679777896897425,232.37397707279237,231.14638202704853,232.15683786077966,2514,Normal
2026-06-08 17:00:00,0.052114703507386596,0.0659665688607592,0.3695623523223111,43.40300505025468,0.334251802080889,232.14550431476326,228.800529385197,227.21659626462394,2513,Normal
2026-06-08 18:00:00,0.06096677858479525,0.09969414528405049,0.6531683047775666,42.790530788798726,0.2240703442203454,231.8302435779634,228.75951564836916,229.36861589896577,2514,Normal
2026-06-08 19:00:00,0.10363656233022896,0.17567106773118824,0.9664388134382849,42.73744448574443,0.2636507267045988,228.11874494665605,230.21020956727708,224.4989870079618,2512,Elevated
2026-06-08 20:00:00,0.04673604786712979,0.06146698847505838,0.38223483052437807,42.73815210796577,0.29226586417310096,231.37803357921973,228.22972785867833,227.89099141042993,2512,Normal
2026-06-08 21:00:00,0.02843857394112278,0.006660298663998399,0.15811897800390692,42.664130758377084,0.3831834686760868,231.28872646022276,233.16988874105013,228.1211178683373,2514,Normal
2026-06-08 22:00:00,0.027464741315418848,0.0012993197815565861,0.032419892242263854,42.11097853848449,0.1298114680892341,230.70115528838505,232.8455498428799,228.6554790346062,2514,Low
2026-06-08 23:00:00,0.02741727476357882,0.0012709375415409655,0.03435263858861499,42.00179068841226,0.01205997376327048,229.64732049502584,231.57236782769598,223.81961572662158,2513,Low
