sensor,strategy,persistence_test_RMSE,model_test_RMSE,RMSE_improvement_percent,test_R2
vib_x_rms,Persistence,0.0033824255772263285,0.0033824255772263285,0.0,-1.4212837759630403
vib_x_rms,Original_Ridge,0.0033824255772263285,0.0090329868059245,-167.05648357034272,-16.268393813930174
vib_x_rms,Delta_Ridge,0.0033824255772263285,0.009031288850567655,-167.006284229128,-16.261902449193457
vib_x_rms,Improved_Delta_Ridge,0.0033824255772263285,0.009031288850567655,-167.006284229128,-16.261902449193457
vib_x_rms,XGBoost_Delta,0.0033824255772263285,0.014564273629649405,-330.5866691557029,-43.89178270920695
vib_y_rms,Persistence,0.005284964884629203,0.005284964884629203,0.0,-1.0377294824728653
vib_y_rms,Original_Ridge,0.005284964884629203,0.010551385790849395,-99.64911822852514,-7.122342932789014
vib_y_rms,Delta_Ridge,0.005284964884629203,0.010553427635380658,-99.68775319726831,-7.12548681673041
vib_y_rms,Improved_Delta_Ridge,0.005284964884629203,0.010553427635380658,-99.68775319726831,-7.12548681673041
vib_y_rms,XGBoost_Delta,0.005284964884629203,0.010835977098709372,-105.0340415737622,-7.566402454488049
vib_z_rms,Persistence,0.002621469439917503,0.002621469439917503,0.0,-1.0471345630568507
vib_z_rms,Original_Ridge,0.002621469439917503,0.004622694799120923,-76.33983172683479,-5.365715644813416
vib_z_rms,Delta_Ridge,0.002621469439917503,0.004624093477760025,-76.39318648343824,-5.369568348853765
vib_z_rms,Improved_Delta_Ridge,0.002621469439917503,0.004624093477760025,-76.39318648343824,-5.369568348853765
vib_z_rms,XGBoost_Delta,0.002621469439917503,0.009796587363051352,-273.70595338161365,-27.58949103036375
mag_x,Persistence,187.43496405201492,187.43496405201492,0.0,-0.972507819249866
mag_x,Original_Ridge,187.43496405201492,133.8338850314357,28.597161309618002,-0.0056565563723454115
mag_x,Delta_Ridge,187.43496405201492,133.83060417804927,28.59891170523017,-0.005607250902713856
mag_x,Improved_Delta_Ridge,187.43496405201492,133.83060417804927,28.59891170523017,-0.005607250902713856
mag_x,XGBoost_Delta,187.43496405201492,134.4284627406228,28.279943168278006,-0.014611974410828843
mag_y,Persistence,184.82977705082965,184.82977705082965,0.0,-0.9936505613674211
mag_y,Original_Ridge,184.82977705082965,131.35132811613366,28.933892464734722,-0.006871612863774912
mag_y,Delta_Ridge,184.82977705082965,131.35192236028826,28.93357095585013,-0.006880723223485985
mag_y,Improved_Delta_Ridge,184.82977705082965,131.35192236028826,28.93357095585013,-0.006880723223485985
mag_y,XGBoost_Delta,184.82977705082965,132.21061767117493,28.468983850575135,-0.020088445725634285
mag_z,Persistence,185.57213655713682,185.57213655713682,0.0,-0.9819945850919436
mag_z,Original_Ridge,185.57213655713682,132.25436022959033,28.731563540052353,-0.006692714690612833
mag_z,Delta_Ridge,185.57213655713682,132.25468456664728,28.731388763244276,-0.006697652269262555
mag_z,Improved_Delta_Ridge,185.57213655713682,132.25468456664728,28.731388763244276,-0.006697652269262555
mag_z,XGBoost_Delta,185.57213655713682,133.0316235567776,28.312716539846615,-0.01856021932414409
temperature,Persistence,0.1470350616156874,0.1470350616156874,0.0,0.8553073307173867
temperature,Original_Ridge,0.1470350616156874,0.22060222984360806,-50.03375890044966,0.6742949376614836
temperature,Delta_Ridge,0.1470350616156874,0.21979268761935922,-49.48318122506174,0.676681025991541
temperature,Improved_Delta_Ridge,0.1470350616156874,0.21979268761935922,-49.48318122506174,0.676681025991541
temperature,XGBoost_Delta,0.1470350616156874,0.18222248781525843,-23.931316662104773,0.7777669452460044
