sensor,MAE,RMSE,R2,sMAPE_percent,model
vib_x_rms,0.0014149448198198197,0.0026666239113689585,-0.23684575557495968,8.227624803368226,Persistence
vib_y_rms,0.0013988918918918917,0.0034419937382815457,-0.08591090378655908,8.610431793135172,Persistence
vib_z_rms,0.0013822181306306308,0.0021043251531875575,-0.31254854784732355,7.993376405810294,Persistence
mag_x,154.33750230855858,188.8932600630185,-0.9989438751555402,77.74756182196334,Persistence
mag_y,152.77403656283786,186.84642991291827,-1.0117091603452497,76.52662042624416,Persistence
mag_z,153.00281513603605,187.24665469565775,-1.0290815103437798,77.90435801845784,Persistence
temperature,0.004997992193693667,0.011803536449045223,0.9990566590706131,0.011751443241536933,Persistence
vib_x_rms,0.002814634941094015,0.012066642024023955,-24.325898541229975,11.510241386799901,XGBoost_LagRolling
vib_y_rms,0.0014126830058354687,0.0037167255542618857,-0.26617877583772964,8.412059478048645,XGBoost_LagRolling
vib_z_rms,0.002988309747640756,0.012937912935879156,-48.61558674811334,12.045088649412042,XGBoost_LagRolling
mag_x,116.54344652149209,134.4756455193806,-0.013106150109659653,58.18834990413472,XGBoost_LagRolling
mag_y,115.37529839168691,133.8692191522772,-0.032659264181666314,57.733637921047674,XGBoost_LagRolling
mag_z,114.13456250846036,132.59302412984522,-0.017449143338298168,57.81801314263482,XGBoost_LagRolling
temperature,0.9502704678641621,1.0206678422430935,-6.053639351398983,2.2245642412699365,XGBoost_LagRolling
vib_x_rms,0.0016026823331573676,0.0027024376696223444,-0.27029152797982126,9.45539813892492,LSTM
vib_y_rms,0.0015319089573520054,0.0034507374223291688,-0.09143505043850131,9.78272799871633,LSTM
vib_z_rms,0.0016018737310825857,0.00229317286342592,-0.5587026191008597,9.498649327570515,LSTM
mag_x,117.12336858849234,135.6831641540054,-0.03138212213850644,57.44950128720488,LSTM
mag_y,114.27642680146829,132.5842027133848,-0.012929326196932323,56.183286095643005,LSTM
mag_z,113.41500383943706,131.7806577878216,-0.005020027084284839,57.84471920385538,LSTM
temperature,0.2862139783629242,0.314976152036716,0.3282624159016535,0.6761207908055938,LSTM
