sensor,model,persistence_mean_rmse,model_mean_rmse,rmse_improvement_percent,persistence_mean_r2,model_mean_r2,r2_difference
vib_x_rms,Persistence,0.0395726078999483,0.0395726078999483,0.0,-0.920716742534465,-0.920716742534465,0.0
vib_x_rms,Ridge,0.0395726078999483,0.038114476237085096,3.684699442982903,-0.920716742534465,-14.61241146409817,-13.691694721563705
vib_x_rms,XGBoost,0.0395726078999483,0.03650022188883225,7.763920990206113,-0.920716742534465,-8.375215461029214,-7.454498718494749
vib_y_rms,Persistence,0.049845967144683735,0.049845967144683735,0.0,-0.9350449908460231,-0.9350449908460231,0.0
vib_y_rms,Ridge,0.049845967144683735,0.04764450486196046,4.4165303811505465,-0.9350449908460231,-12.567122586194467,-11.632077595348443
vib_y_rms,XGBoost,0.049845967144683735,0.046563918353306186,6.584381805354524,-0.9350449908460231,-7.574727962776895,-6.639682971930871
vib_z_rms,Persistence,0.01619773081677039,0.01619773081677039,0.0,-0.9494192868277231,-0.9494192868277231,0.0
vib_z_rms,Ridge,0.01619773081677039,0.015926597801585996,1.673895055125107,-0.9494192868277231,-3.1907572445956585,-2.2413379577679353
vib_z_rms,XGBoost,0.01619773081677039,0.015305537717944245,5.508136348965686,-0.9494192868277231,-2.6136714966897685,-1.6642522098620454
mag_x,Persistence,187.2131897370553,187.2131897370553,0.0,-1.0005602072202717,-1.0005602072202717,0.0
mag_x,Ridge,187.2131897370553,132.4988044583088,29.22571072881882,-1.0005602072202717,-0.0020382993701131722,0.9985219078501586
mag_x,XGBoost,187.2131897370553,133.4951061331417,28.693535791661766,-1.0005602072202717,-0.017199488962737552,0.9833607182575341
mag_y,Persistence,185.51257930099396,185.51257930099396,0.0,-0.9704874070794481,-0.9704874070794481,0.0
mag_y,Ridge,185.51257930099396,132.38728132349746,28.637032689465634,-0.9704874070794481,-0.00333280351040266,0.9671546035690455
mag_y,XGBoost,185.51257930099396,133.47581063812726,28.050264224097226,-0.9704874070794481,-0.019900842713935864,0.9505865643655123
mag_z,Persistence,186.49205024932795,186.49205024932795,0.0,-1.0082029835369979,-1.0082029835369979,0.0
mag_z,Ridge,186.49205024932795,131.70231842984123,29.37912460409779,-1.0082029835369979,-0.0015230785867028195,1.006679904950295
mag_z,XGBoost,186.49205024932795,132.99252202440584,28.6872969402163,-1.0082029835369979,-0.02123604738602656,0.9869669361509713
temperature,Persistence,0.1894856139755565,0.1894856139755565,0.0,0.8170880960750979,0.8170880960750979,0.0
temperature,Ridge,0.1894856139755565,0.21027461589763669,-10.971282455649618,0.8170880960750979,0.7564946976655105,-0.06059339840958744
temperature,XGBoost,0.1894856139755565,0.5415470308081181,-185.79849385187478,0.8170880960750979,-0.8709094092098713,-1.6879975052849692
